n_jobs,repetitions,avg_runtime,min_runtime,max_runtime,avg_nodes_explored,min_nodes_explored,max_nodes_explored,avg_pruned_bound,avg_pruning_rate,avg_makespan,min_makespan,max_makespan,successes,timeouts
4,5,0.15587439537048334,0.0470016002655029,0.2415094375610351,158.6,29,261,60.4,0.48488085218647414,61.2,36.0,78.0,5,0
6,5,0.6985337257385253,0.0201222896575927,3.151592493057251,1537.0,109,3199,1402.0,0.847740208828531,117.4,95.0,160.0,5,0
8,5,1.5297908306121826,0.021000862121582,6.763418197631836,6131.8,297,13053,5322.6,0.9102150367887321,149.6,133.0,160.0,5,0
10,5,0.7222149372100831,0.100001573562622,2.554550647735596,4583.2,1041,8350,4119.6,0.8959957059103282,274.4,180.0,396.0,5,0
12,5,68.98345928192138,0.579176664352417,278.8899915218353,215748.8,8702,500025,167179.2,0.8596437703599682,242.6,168.0,340.0,5,0
14,5,6.850962209701538,0.0502300262451171,30.079952478408813,107330.4,751,500030,100869.4,0.9369616684312302,452.6,279.0,660.0,5,0
16,5,57.833559513092055,0.110001802444458,210.7914447784424,304822.4,2095,500044,277036.6,0.9362527529255236,432.4,288.0,646.0,5,0
18,5,66.37482357025146,0.2245936393737793,304.9604287147522,184888.2,4195,500004,158862.6,0.9255525443315354,522.2,400.0,660.0,5,0
