timestamp,m_machines,n_jobs,budget_multiplier,budget,repetition,seed,ceiling_status,ceiling_nodes,ceiling_time,ceiling_initial,ceiling_final,ceiling_improvement,maxlpt_status,maxlpt_nodes,maxlpt_time,maxlpt_initial,maxlpt_final,maxlpt_improvement
2026-03-14 19:12:53,2,12,5.0,646.0,2,2292250366,completed,362,0.017,378.0,378.0,0.0,completed,218,0.0465,378.0,378.0,0.0
2026-03-14 19:12:54,2,16,5.0,558.0,5,3266862045,completed,2594,0.03,330.0,330.0,0.0,completed,1102,0.091,330.0,330.0,0.0
2026-03-14 19:12:55,2,20,5.0,565.0,5,278819002,completed,6301,0.0565,396.0,396.0,0.0,completed,725,0.1245,396.0,396.0,0.0
2026-03-14 19:12:55,2,24,5.0,525.0,1,3410372909,completed,867,0.025,694.0,703.0,-9.0,completed,305,0.1695,694.0,703.0,-9.0
2026-03-14 19:12:56,2,24,5.0,543.0,4,4217358890,completed,943,0.0295,672.0,676.0,-4.0,completed,463,0.189,672.0,676.0,-4.0
2026-03-14 19:12:56,4,4,5.0,1045.0,4,57593050,completed,1322,0.17,180.0,180.0,0.0,completed,821,0.1745,180.0,180.0,0.0
2026-03-14 19:13:06,4,16,5.0,1111.0,2,2075080923,completed,82109,3.8339,506.0,516.0,-10.0,completed,13124,3.521,506.0,516.0,-10.0
2026-03-14 19:13:08,4,20,5.0,1193.0,1,2689548836,completed,17212,0.2796,990.0,990.0,0.0,completed,2400,0.7055,990.0,990.0,0.0
2026-03-14 19:14:01,4,24,5.0,1153.0,4,4153384450,completed,173526,34.4973,1015.0,1019.0,-4.0,completed,10823,13.8768,1015.0,1019.0,-4.0
2026-03-14 19:14:02,6,4,5.0,1905.0,5,2244995776,completed,559,0.1523,495.0,495.0,0.0,completed,358,0.1813,495.0,495.0,0.0
2026-03-14 19:17:13,6,8,5.0,1897.0,3,3339409207,completed,192905,128.1041,296.0,308.0,-12.0,completed,29260,62.798,296.0,308.0,-12.0
2026-03-14 19:41:51,6,8,5.0,1893.0,4,711980041,completed,247686,738.7361,299.0,299.0,0.0,completed,39515,738.8477,299.0,299.0,0.0
2026-03-14 19:41:52,6,8,5.0,1353.0,5,331373410,completed,7370,0.5612,507.0,507.0,0.0,completed,2118,0.3796,507.0,507.0,0.0
2026-03-14 19:42:11,6,12,5.0,1937.0,4,1368829674,completed,65767,9.0039,626.0,650.0,-24.0,completed,4718,8.4563,626.0,650.0,-24.0
2026-03-14 20:45:33,6,16,5.0,1695.0,2,3639831432,timeout,98846337,3680.176,266.0,276.0,-10.0,completed,820887,121.6772,266.0,276.0,-10.0
2026-03-14 20:47:43,6,16,5.0,1815.0,3,1012402266,completed,12454165,117.4959,552.0,552.0,0.0,completed,16851,11.6554,552.0,552.0,0.0
2026-03-14 20:48:21,6,20,5.0,1711.0,2,2729467914,completed,1633129,22.4699,884.0,884.0,0.0,completed,41839,12.1949,884.0,884.0,0.0
2026-03-14 20:51:58,6,24,5.0,1740.0,5,4193303528,completed,12237802,183.9209,638.0,638.0,0.0,completed,40183,23.868,638.0,638.0,0.0
2026-03-14 20:52:02,8,4,5.0,1990.0,2,1274696468,completed,1433,1.9905,360.0,372.0,-12.0,completed,402,2.0159,360.0,372.0,-12.0
2026-03-14 20:52:16,8,4,5.0,2500.0,4,414144319,completed,4012,6.7911,238.0,238.0,0.0,completed,2640,6.7873,238.0,238.0,0.0
2026-03-14 22:10:18,8,24,5.0,2123.0,1,1036707391,timeout,92429335,3845.057,644.0,644.0,0.0,completed,16525394,812.5187,644.0,644.0,0.0
2026-03-14 22:10:32,10,4,5.0,2337.0,4,934008915,completed,1497,0.5241,396.0,396.0,0.0,completed,939,0.5461,396.0,396.0,0.0
2026-03-15 00:24:23,10,20,5.0,3085.0,5,2719985376,timeout,112610090,4189.0681,494.0,494.0,0.0,completed,25059754,372.8375,494.0,494.0,0.0
