timestamp,m_machines,n_jobs,budget_multiplier,budget,repetition,seed,ceiling_status,ceiling_nodes,ceiling_time,ceiling_initial,ceiling_final,ceiling_improvement,maxlpt_status,maxlpt_nodes,maxlpt_time,maxlpt_initial,maxlpt_final,maxlpt_improvement
2026-03-14 19:12:53,2,4,5.0,260.00,1,539322171,optimal,0,0.0147,315.0,315.0,0.0000,optimal,0,0.0040,315.0,315.0,0.0000
2026-03-14 19:12:53,2,4,5.0,657.00,2,158715540,optimal,0,0.0040,300.0,300.0,0.0000,optimal,0,0.0080,300.0,300.0,0.0000
2026-03-14 19:12:53,2,4,5.0,410.00,3,1826253670,optimal,0,0.0030,215.0,215.0,0.0000,optimal,0,0.0050,215.0,215.0,0.0000
2026-03-14 19:12:53,2,4,5.0,712.00,4,3593130687,optimal,0,0.0055,160.0,160.0,0.0000,optimal,0,0.0120,160.0,160.0,0.0000
2026-03-14 19:12:53,2,4,5.0,665.00,5,965701521,optimal,0,0.0060,340.0,340.0,0.0000,optimal,0,0.0110,340.0,340.0,0.0000
2026-03-14 19:12:53,2,8,5.0,525.00,1,2115346251,optimal,0,0.0080,552.0,552.0,0.0000,optimal,0,0.0220,552.0,552.0,0.0000
2026-03-14 19:12:53,2,8,5.0,556.00,2,3782884381,optimal,0,0.0060,273.0,273.0,0.0000,optimal,0,0.0210,273.0,273.0,0.0000
2026-03-14 19:12:53,2,8,5.0,512.00,3,3402277750,optimal,0,0.0060,352.0,352.0,0.0000,optimal,0,0.0205,352.0,352.0,0.0000
2026-03-14 19:12:53,2,8,5.0,553.00,4,2922332232,optimal,0,0.0070,656.0,656.0,0.0000,optimal,0,0.0210,656.0,656.0,0.0000
2026-03-14 19:12:53,2,8,5.0,505.00,5,2541725601,optimal,0,0.0060,344.0,344.0,0.0000,optimal,0,0.0170,344.0,344.0,0.0000
2026-03-14 19:12:53,2,12,5.0,598.00,1,525373349,optimal,0,0.0110,550.0,550.0,0.0000,optimal,0,0.0555,550.0,550.0,0.0000
2026-03-14 19:12:53,2,12,5.0,646.00,2,2292250366,completed,362,0.0170,378.0,378.0,0.0000,completed,218,0.0465,378.0,378.0,0.0000
2026-03-14 19:12:53,2,12,5.0,585.00,3,3959788496,optimal,0,0.0090,324.0,324.0,0.0000,optimal,0,0.0460,324.0,324.0,0.0000
2026-03-14 19:12:53,2,12,5.0,608.00,4,3579181865,optimal,0,0.0080,280.0,280.0,0.0000,optimal,0,0.0375,280.0,280.0,0.0000
2026-03-14 19:12:53,2,12,5.0,585.00,5,951752699,optimal,0,0.0090,390.0,390.0,0.0000,optimal,0,0.0437,390.0,390.0,0.0000
2026-03-14 19:12:54,2,16,5.0,643.00,1,2840482695,optimal,0,0.0130,720.0,720.0,0.0000,optimal,0,0.0905,720.0,720.0,0.0000
2026-03-14 19:12:54,2,16,5.0,489.00,2,213053529,optimal,0,0.0100,833.0,833.0,0.0000,optimal,0,0.0690,833.0,833.0,0.0000
2026-03-14 19:12:54,2,16,5.0,540.00,3,4127414194,optimal,0,0.0140,460.0,460.0,0.0000,optimal,0,0.0855,460.0,460.0,0.0000
2026-03-14 19:12:54,2,16,5.0,556.00,4,3647468676,optimal,0,0.0130,616.0,616.0,0.0000,optimal,0,0.0835,616.0,616.0,0.0000
2026-03-14 19:12:54,2,16,5.0,558.00,5,3266862045,completed,2594,0.0300,330.0,330.0,0.0000,completed,1102,0.0910,330.0,330.0,0.0000
2026-03-14 19:12:54,2,20,5.0,544.00,1,1900584413,optimal,0,0.0120,736.0,736.0,0.0000,optimal,0,0.1000,736.0,736.0,0.0000
2026-03-14 19:12:54,2,20,5.0,551.00,2,1519977782,optimal,0,0.0150,920.0,920.0,0.0000,optimal,0,0.1220,920.0,920.0,0.0000
2026-03-14 19:12:54,2,20,5.0,680.00,3,1040032264,optimal,0,0.0160,559.0,559.0,0.0000,optimal,0,0.1265,559.0,559.0,0.0000
2026-03-14 19:12:55,2,20,5.0,538.00,4,659425633,optimal,0,0.0160,858.0,858.0,0.0000,optimal,0,0.1149,858.0,858.0,0.0000
2026-03-14 19:12:55,2,20,5.0,565.00,5,278819002,completed,6301,0.0565,396.0,396.0,0.0000,completed,725,0.1245,396.0,396.0,0.0000
2026-03-14 19:12:55,2,24,5.0,525.00,1,3410372909,completed,867,0.0250,694.0,703.0,-9.0000,completed,305,0.1695,694.0,703.0,-9.0000
2026-03-14 19:12:55,2,24,5.0,631.00,2,782943743,optimal,0,0.0180,966.0,966.0,0.0000,optimal,0,0.1753,966.0,966.0,0.0000
2026-03-14 19:12:55,2,24,5.0,568.00,3,402337112,optimal,0,0.0190,728.0,728.0,0.0000,optimal,0,0.2075,728.0,728.0,0.0000
2026-03-14 19:12:56,2,24,5.0,543.00,4,4217358890,completed,943,0.0295,672.0,676.0,-4.0000,completed,463,0.1890,672.0,676.0,-4.0000
2026-03-14 19:12:56,2,24,5.0,525.00,5,3836752259,optimal,0,0.0180,1300.0,1300.0,0.0000,optimal,0,0.1850,1300.0,1300.0,0.0000
2026-03-14 19:12:56,4,4,5.0,780.00,1,1298751830,optimal,0,0.0090,189.0,189.0,0.0000,optimal,0,0.0160,189.0,189.0,0.0000
2026-03-14 19:12:56,4,4,5.0,920.00,2,918145199,optimal,0,0.0130,572.0,572.0,0.0000,optimal,0,0.0240,572.0,572.0,0.0000
2026-03-14 19:12:56,4,4,5.0,1090.00,3,438199681,optimal,0,0.0150,738.0,738.0,0.0000,optimal,0,0.0315,738.0,738.0,0.0000
2026-03-14 19:12:56,4,4,5.0,1045.00,4,57593050,completed,1322,0.1700,180.0,180.0,0.0000,completed,821,0.1745,180.0,180.0,0.0000
2026-03-14 19:12:56,4,4,5.0,930.00,5,1725131180,optimal,0,0.0100,423.0,423.0,0.0000,optimal,0,0.0190,423.0,423.0,0.0000
2026-03-14 19:12:56,4,8,5.0,1280.00,1,388388312,optimal,0,0.0325,459.0,459.0,0.0000,optimal,0,0.1115,459.0,459.0,0.0000
2026-03-14 19:12:56,4,8,5.0,1002.00,2,7781681,optimal,0,0.0240,540.0,540.0,0.0000,optimal,0,0.0989,540.0,540.0,0.0000
2026-03-14 19:12:57,4,8,5.0,1152.00,3,3822803459,optimal,0,0.0230,608.0,608.0,0.0000,optimal,0,0.0865,608.0,608.0,0.0000
2026-03-14 19:12:57,4,8,5.0,1155.00,4,3442196828,optimal,0,0.0190,315.0,315.0,0.0000,optimal,0,0.0785,315.0,315.0,0.0000
2026-03-14 19:12:57,4,8,5.0,1187.00,5,3061590197,optimal,0,0.0250,782.0,782.0,0.0000,optimal,0,0.0960,782.0,782.0,0.0000
2026-03-14 19:12:57,4,12,5.0,936.00,1,3192721593,optimal,0,0.0225,490.0,490.0,0.0000,optimal,0,0.1210,490.0,490.0,0.0000
2026-03-14 19:12:57,4,12,5.0,1200.00,2,565292427,optimal,0,0.0340,760.0,760.0,0.0000,optimal,0,0.1922,760.0,760.0,0.0000
2026-03-14 19:12:57,4,12,5.0,956.00,3,184685796,optimal,0,0.0270,551.0,551.0,0.0000,optimal,0,0.1560,551.0,551.0,0.0000
2026-03-14 19:12:58,4,12,5.0,1226.00,4,4099046461,optimal,0,0.0380,713.0,713.0,0.0000,optimal,0,0.2215,713.0,713.0,0.0000
2026-03-14 19:12:58,4,12,5.0,1231.00,5,3619100943,optimal,0,0.0391,1148.0,1148.0,0.0000,optimal,0,0.2480,1148.0,1148.0,0.0000
2026-03-14 19:12:58,4,16,5.0,1206.00,1,308203906,optimal,0,0.0389,624.0,624.0,0.0000,optimal,0,0.3050,624.0,624.0,0.0000
2026-03-14 19:13:06,4,16,5.0,1111.00,2,2075080923,completed,82109,3.8339,506.0,516.0,-10.0000,completed,13124,3.5210,506.0,516.0,-10.0000
2026-03-14 19:13:06,4,16,5.0,1282.00,3,3742619053,optimal,0,0.0422,646.0,646.0,0.0000,optimal,0,0.3275,646.0,646.0,0.0000
2026-03-14 19:13:06,4,16,5.0,1153.00,4,3362012422,optimal,0,0.0430,1247.0,1247.0,0.0000,optimal,0,0.3380,1247.0,1247.0,0.0000
2026-03-14 19:13:07,4,16,5.0,1082.00,5,734583256,optimal,0,0.0350,805.0,805.0,0.0000,optimal,0,0.2725,805.0,805.0,0.0000
2026-03-14 19:13:08,4,20,5.0,1193.00,1,2689548836,completed,17212,0.2796,990.0,990.0,0.0000,completed,2400,0.7055,990.0,990.0,0.0000
2026-03-14 19:13:08,4,20,5.0,1134.00,2,62119670,optimal,0,0.0450,495.0,495.0,0.0000,optimal,0,0.4475,495.0,495.0,0.0000
2026-03-14 19:13:09,4,20,5.0,1278.00,3,1828996687,optimal,0,0.0520,798.0,798.0,0.0000,optimal,0,0.5395,798.0,798.0,0.0000
2026-03-14 19:13:09,4,20,5.0,1165.00,4,1448390056,optimal,0,0.0510,810.0,810.0,0.0000,optimal,0,0.5000,810.0,810.0,0.0000
2026-03-14 19:13:10,4,20,5.0,925.00,5,3115928186,optimal,0,0.0485,780.0,780.0,0.0000,optimal,0,0.5073,780.0,780.0,0.0000
2026-03-14 19:13:11,4,24,5.0,1080.00,1,3247059582,optimal,0,0.0620,666.0,666.0,0.0000,optimal,0,0.8032,666.0,666.0,0.0000
2026-03-14 19:13:12,4,24,5.0,1113.00,2,2866452951,optimal,0,0.0665,1012.0,1012.0,0.0000,optimal,0,0.8656,1012.0,1012.0,0.0000
2026-03-14 19:13:12,4,24,5.0,1240.00,3,2485846320,optimal,0,0.0540,377.0,377.0,0.0000,optimal,0,0.6461,377.0,377.0,0.0000
2026-03-14 19:14:01,4,24,5.0,1153.00,4,4153384450,completed,173526,34.4973,1015.0,1019.0,-4.0000,completed,10823,13.8768,1015.0,1019.0,-4.0000
2026-03-14 19:14:01,4,24,5.0,1260.00,5,1625294171,optimal,0,0.0561,495.0,495.0,0.0000,optimal,0,0.6446,495.0,495.0,0.0000
2026-03-14 19:14:01,6,4,5.0,1170.00,1,3966100074,optimal,0,0.0145,350.0,350.0,0.0000,optimal,0,0.0300,350.0,350.0,0.0000
2026-03-14 19:14:02,6,4,5.0,1560.00,2,1338670908,optimal,0,0.0220,385.0,385.0,0.0000,optimal,0,0.0495,385.0,385.0,0.0000
2026-03-14 19:14:02,6,4,5.0,2242.00,3,958064277,optimal,0,0.0220,287.0,287.0,0.0000,optimal,0,0.0480,287.0,287.0,0.0000
2026-03-14 19:14:02,6,4,5.0,2070.00,4,2625602407,optimal,0,0.0234,392.0,392.0,0.0000,optimal,0,0.0470,392.0,392.0,0.0000
2026-03-14 19:14:02,6,4,5.0,1905.00,5,2244995776,completed,559,0.1523,495.0,495.0,0.0000,completed,358,0.1813,495.0,495.0,0.0000
2026-03-14 19:14:02,6,8,5.0,2066.00,1,1953138821,optimal,0,0.0451,637.0,637.0,0.0000,optimal,0,0.1841,637.0,637.0,0.0000
2026-03-14 19:14:02,6,8,5.0,1710.00,2,1572532190,optimal,0,0.0390,600.0,600.0,0.0000,optimal,0,0.1602,600.0,600.0,0.0000
2026-03-14 19:17:13,6,8,5.0,1897.00,3,3339409207,completed,192905,128.1041,296.0,308.0,-12.0000,completed,29260,62.7980,296.0,308.0,-12.0000
2026-03-14 19:41:51,6,8,5.0,1893.00,4,711980041,completed,247686,738.7361,299.0,299.0,0.0000,completed,39515,738.8477,299.0,299.0,0.0000
2026-03-14 19:41:52,6,8,5.0,1353.00,5,331373410,completed,7370,0.5612,507.0,507.0,0.0000,completed,2118,0.3796,507.0,507.0,0.0000
2026-03-14 19:41:52,6,12,5.0,1535.00,1,462504806,optimal,0,0.0520,429.0,429.0,0.0000,optimal,0,0.3205,429.0,429.0,0.0000
2026-03-14 19:41:53,6,12,5.0,1715.00,2,81898175,optimal,0,0.0620,846.0,846.0,0.0000,optimal,0,0.3960,846.0,846.0,0.0000
2026-03-14 19:41:53,6,12,5.0,1492.00,3,1749436305,optimal,0,0.0500,312.0,312.0,0.0000,optimal,0,0.3233,312.0,312.0,0.0000
2026-03-14 19:42:11,6,12,5.0,1937.00,4,1368829674,completed,65767,9.0039,626.0,650.0,-24.0000,completed,4718,8.4563,626.0,650.0,-24.0000
2026-03-14 19:42:11,6,12,5.0,1350.00,5,888884156,optimal,0,0.0535,539.0,539.0,0.0000,optimal,0,0.3490,539.0,539.0,0.0000
2026-03-14 19:42:12,6,16,5.0,1749.00,1,1872954415,optimal,0,0.0705,429.0,429.0,0.0000,optimal,0,0.5671,429.0,429.0,0.0000
2026-03-14 20:45:33,6,16,5.0,1695.00,2,3639831432,timeout,98846337,3680.1760,266.0,276.0,-10.0000,completed,820887,121.6772,266.0,276.0,-10.0000
2026-03-14 20:47:43,6,16,5.0,1815.00,3,1012402266,completed,12454165,117.4959,552.0,552.0,0.0000,completed,16851,11.6554,552.0,552.0,0.0000
2026-03-14 20:47:44,6,16,5.0,1942.00,4,631795635,optimal,0,0.1191,1170.0,1170.0,0.0000,optimal,0,1.1036,1170.0,1170.0,0.0000
2026-03-14 20:47:45,6,16,5.0,1760.00,5,251189004,optimal,0,0.0990,1323.0,1323.0,0.0000,optimal,0,0.8671,1323.0,1323.0,0.0000
2026-03-14 20:47:46,6,20,5.0,1848.00,1,3209413432,optimal,0,0.1010,507.0,507.0,0.0000,optimal,0,1.0717,507.0,507.0,0.0000
2026-03-14 20:48:21,6,20,5.0,1711.00,2,2729467914,completed,1633129,22.4699,884.0,884.0,0.0000,completed,41839,12.1949,884.0,884.0,0.0000
2026-03-14 20:48:22,6,20,5.0,1786.00,3,2348861283,optimal,0,0.0850,450.0,450.0,0.0000,optimal,0,0.8491,450.0,450.0,0.0000
2026-03-14 20:48:23,6,20,5.0,1741.00,4,4016399413,optimal,0,0.0905,403.0,403.0,0.0000,optimal,0,0.9061,403.0,403.0,0.0000
