parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
machines,10,2,100002,8,10,2.0,0.010999917984008789,0,0,0.0,90.0,success,0.017007112503051758,0,0,0.0,90.0,success,True,,
machines,10,3,100003,8,10,2.0,0.011998653411865234,0,0,0.0,50.0,success,0.0178678035736084,0,0,0.0,50.0,success,True,,
machines,10,4,100004,8,10,2.0,0.009998083114624023,0,0,0.0,42.0,success,0.014000892639160156,0,0,0.0,42.0,success,True,,
machines,11,0,110000,8,11,2.0,0.010003805160522461,0,0,0.0,39.0,success,0.015691518783569336,0,0,0.0,39.0,success,True,,
machines,11,1,110001,8,11,2.0,0.014000654220581055,0,0,0.0,96.0,success,0.02099919319152832,0,0,0.0,96.0,success,True,,
machines,11,2,110002,8,11,2.0,0.01600360870361328,0,0,0.0,70.0,success,0.02351069450378418,0,0,0.0,70.0,success,True,,
machines,11,3,110003,8,11,2.0,0.009998798370361328,0,0,0.0,60.0,success,0.014000654220581055,0,0,0.0,60.0,success,True,,
machines,11,4,110004,8,11,2.0,0.00800013542175293,0,0,0.0,40.0,success,0.014000415802001953,0,0,0.0,40.0,success,True,,
machines,12,0,120000,8,12,2.0,0.010003805160522461,0,0,0.0,45.0,success,0.018177509307861328,0,0,0.0,45.0,success,True,,
machines,12,1,120001,8,12,2.0,0.011997222900390625,0,0,0.0,80.0,success,0.019002676010131836,0,0,0.0,80.0,success,True,,
machines,12,2,120002,8,12,2.0,3600.3738837242126,88785,3301,0.03717970377879146,52.0,success,3600.3856930732727,82351,1722,0.020910492890189553,52.0,success,True,7.246719603536633,0.9999967199766728
machines,12,3,120003,8,12,2.0,0.012000799179077148,0,0,0.0,60.0,success,0.015001535415649414,0,0,0.0,60.0,success,True,,
machines,12,4,120004,8,12,2.0,0.016069412231445312,0,0,0.0,72.0,success,0.01801013946533203,0,0,0.0,72.0,success,True,,
