parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
budget,2.6,2,26002,8,4,2.6,0.01199960708618164,0,0,0.0,357.0,success,0.019492387771606445,0,0,0.0,357.0,success,True,,
budget,2.6,3,26003,8,4,2.6,0.008999824523925781,0,0,0.0,162.0,success,0.014996528625488281,0,0,0.0,162.0,success,True,,
budget,2.6,4,26004,8,4,2.6,0.008356809616088867,0,0,0.0,100.0,success,0.017438411712646484,0,0,0.0,100.0,success,True,,
budget,2.8,0,28000,8,4,2.8,0.011663675308227539,0,0,0.0,144.0,success,0.01656627655029297,0,0,0.0,144.0,success,True,,
budget,2.8,1,28001,8,4,2.8,0.013111591339111328,0,0,0.0,299.0,success,0.023003578186035156,0,0,0.0,299.0,success,True,,
budget,2.8,2,28002,8,4,2.8,0.009999990463256836,0,0,0.0,224.0,success,0.019038677215576172,0,0,0.0,224.0,success,True,,
budget,2.8,3,28003,8,4,2.8,0.3980727195739746,3436,2784,0.810244470314319,250.0,success,0.1335141658782959,434,325,0.7488479262672811,250.0,success,True,87.36903376018627,2.981501752681701
budget,2.8,4,28004,8,4,2.8,43.00228500366211,423866,383140,0.9039177475900403,108.0,success,5.394570827484131,22436,19459,0.867311463719023,108.0,success,True,94.70681772069474,7.971400576404538
budget,3.0,0,30000,8,4,3.0,0.01300191879272461,0,0,0.0,340.0,success,0.020092248916625977,0,0,0.0,340.0,success,True,,
budget,3.0,1,30001,8,4,3.0,0.010998964309692383,0,0,0.0,320.0,success,0.021000146865844727,0,0,0.0,320.0,success,True,,
budget,3.0,2,30002,8,4,3.0,0.24003934860229492,654,553,0.845565749235474,300.0,success,0.12159562110900879,283,239,0.8445229681978799,300.0,success,True,56.727828746177366,1.9740788888039231
budget,3.0,3,30003,8,4,3.0,0.014006614685058594,0,0,0.0,480.0,success,0.029003620147705078,0,0,0.0,480.0,success,True,,
budget,3.0,4,30004,8,4,3.0,0.013510942459106445,0,0,0.0,375.0,success,0.02700018882751465,0,0,0.0,375.0,success,True,,
budget,3.2,0,32000,8,4,3.2,0.013999700546264648,0,0,0.0,324.0,success,0.02500319480895996,0,0,0.0,324.0,success,True,,
budget,3.2,1,32001,8,4,3.2,0.01000070571899414,0,0,0.0,170.0,success,0.021999835968017578,0,0,0.0,170.0,success,True,,
budget,3.2,2,32002,8,4,3.2,0.009996891021728516,0,0,0.0,240.0,success,0.018998146057128906,0,0,0.0,240.0,success,True,,
budget,3.2,3,32003,8,4,3.2,66.94184517860413,62252,46831,0.752281051211206,135.0,success,51.428487062454224,23776,12214,0.5137113055181696,135.0,success,True,61.80684957912999,1.3016491248772424
budget,3.2,4,32004,8,4,3.2,0.011000871658325195,0,0,0.0,272.0,success,0.020999908447265625,0,0,0.0,272.0,success,True,,
budget,3.4,0,34000,8,4,3.4,0.013899803161621094,0,0,0.0,513.0,success,0.02700042724609375,0,0,0.0,513.0,success,True,,
budget,3.4,1,34001,8,4,3.4,0.015616655349731445,0,0,0.0,300.0,success,0.02506399154663086,0,0,0.0,300.0,success,True,,
budget,3.4,2,34002,8,4,3.4,0.013339757919311523,0,0,0.0,384.0,success,0.022783756256103516,0,0,0.0,384.0,success,True,,
budget,3.4,3,34003,8,4,3.4,154.44117546081543,56395,40402,0.7164110293465733,180.0,success,56.29994225502014,8690,2566,0.2952819332566168,180.0,success,True,84.59083252061352,2.7431853262166404
budget,3.4,4,34004,8,4,3.4,0.011005163192749023,0,0,0.0,221.0,success,0.017003536224365234,0,0,0.0,221.0,success,True,,
budget,3.6,0,36000,8,4,3.6,0.013002872467041016,0,0,0.0,320.0,success,0.0279998779296875,0,0,0.0,320.0,success,True,,
budget,3.6,1,36001,8,4,3.6,0.013000726699829102,0,0,0.0,364.0,success,0.026000261306762695,0,0,0.0,364.0,success,True,,
budget,3.6,2,36002,8,4,3.6,19.149415969848633,42746,33238,0.7775698310953072,170.0,success,6.026339530944824,3405,1931,0.5671071953010279,170.0,success,True,92.03434239461002,3.1776198256865125
budget,3.6,3,36003,8,4,3.6,2.19429612159729,3015,2287,0.7585406301824212,340.0,success,1.050858736038208,413,182,0.4406779661016949,340.0,success,True,86.30182421227197,2.0880980919185204
budget,3.6,4,36004,8,4,3.6,0.14680933952331543,1472,1211,0.8226902173913043,363.0,success,0.10651350021362305,298,219,0.7348993288590604,363.0,success,True,79.75543478260869,1.3783167319529939
budget,3.8,0,38000,8,4,3.8,0.016956567764282227,0,0,0.0,442.0,success,0.031003475189208984,0,0,0.0,442.0,success,True,,
budget,3.8,1,38001,8,4,3.8,0.01750802993774414,0,0,0.0,612.0,success,0.03764843940734863,0,0,0.0,612.0,success,True,,
budget,3.8,2,38002,8,4,3.8,0.010679244995117188,0,0,0.0,272.0,success,0.019003629684448242,0,0,0.0,272.0,success,True,,
budget,3.8,3,38003,8,4,3.8,0.4386889934539795,1325,1235,0.9320754716981132,405.0,success,0.3836066722869873,445,377,0.8471910112359551,405.0,success,True,66.41509433962266,1.1435906232772288
budget,3.8,4,38004,8,4,3.8,0.01566910743713379,0,0,0.0,345.0,success,0.028001785278320312,0,0,0.0,345.0,success,True,,
budget,4.0,0,40000,8,4,4.0,0.013507604598999023,0,0,0.0,209.0,success,0.03699851036071777,0,0,0.0,209.0,success,True,,
budget,4.0,1,40001,8,4,4.0,0.01999950408935547,0,0,0.0,492.0,success,0.04450225830078125,0,0,0.0,492.0,success,True,,
budget,4.0,2,40002,8,4,4.0,0.012999773025512695,0,0,0.0,270.0,success,0.0260007381439209,0,0,0.0,270.0,success,True,,
budget,4.0,3,40003,8,4,4.0,0.013507843017578125,0,0,0.0,342.0,success,0.031065702438354492,0,0,0.0,342.0,success,True,,
budget,4.0,4,40004,8,4,4.0,0.019000768661499023,0,0,0.0,666.0,success,0.03350949287414551,0,0,0.0,666.0,success,True,,
budget,4.2,0,42000,8,4,4.2,140.5209140777588,121354,101727,0.8382665589926991,247.0,success,53.78539752960205,14535,10721,0.7375988992088063,247.0,success,True,88.02264449461904,2.61262202255584
budget,4.2,1,42001,8,4,4.2,0.020508766174316406,0,0,0.0,476.0,success,0.04150819778442383,0,0,0.0,476.0,success,True,,
budget,4.2,2,42002,8,4,4.2,0.01800084114074707,0,0,0.0,432.0,success,0.04005146026611328,0,0,0.0,432.0,success,True,,
budget,4.2,3,42003,8,4,4.2,0.015000343322753906,0,0,0.0,551.0,success,0.03200411796569824,0,0,0.0,551.0,success,True,,
