parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup,root_solved_skipped,ceiling_timeout,maxlpt_timeout
budget,4.0,0,40004,20,10,4.0,4028.8503952026367,20932694,0,0.0,608.0,success,False,0,568.2135615348816,696938,0,0.0,608.0,success,False,0,True,96.67057665869476,7.090380568038085,4,True,False
budget,5.0,0,50001,20,10,5.0,3878.95840382576,34248348,0,0.0,672.0,success,False,0,2702.050486803055,25266723,0,0.0,672.0,success,False,0,True,26.224987552684297,1.4355610388372757,1,True,False
budget,6.0,0,60012,20,10,6.0,3727.233460187912,9958262,0,0.0,704.0,success,False,0,2177.2775444984436,10081710,0,0.0,704.0,success,False,0,True,-1.2396540681496537,1.7118779687072534,12,True,False
budget,7.0,0,70018,20,10,7.0,4057.5277514457703,44522090,0,0.0,296.0,success,False,0,4043.363300561905,54110812,0,0.0,296.0,success,False,0,True,-21.536998824628405,1.0035031358379043,18,True,True
