machines,repetitions,avg_runtime,min_runtime,max_runtime,avg_nodes_explored,min_nodes_explored,max_nodes_explored,avg_pruned_bound,avg_pruning_rate,avg_makespan,min_makespan,max_makespan,successes,timeouts
2,5,0.10069112777709954,0.0067074298858642,0.4000530242919922,1742.8,14,7781,1556.8,0.943078176233984,297.4,200.0,589.0,5,0
3,5,0.02475137710571284,0.0089986324310302,0.0380032062530517,280.2,9,656,263.6,0.9491247166030478,328.2,276.0,440.0,5,0
4,5,0.09920582771301266,0.0119993686676025,0.3130218982696533,1562.0,21,4604,1356.2,0.9226855188949761,202.8,114.0,342.0,5,0
5,5,6.030521821975709,0.1090505123138427,18.62969017028809,27307.0,1389,102233,22731.0,0.8714255393656751,126.6,112.0,143.0,5,0
6,5,26.63256902694702,0.0229992866516113,82.60180306434631,45653.2,265,120588,36059.6,0.8435390908472972,141.6,68.0,240.0,5,0
7,5,41.47591981887818,0.1601800918579101,107.50668597221376,30233.8,3410,66848,22057.8,0.7965467732813825,93.2,52.0,112.0,5,0
8,5,18.831258678436278,0.741053581237793,59.765015602111816,77736.4,5401,121577,67484.8,0.8715520372157604,79.0,72.0,84.0,5,0
9,5,47.18348217010498,10.59659194946289,91.3311870098114,100167.0,23442,175541,82146.6,0.780699978403392,67.0,60.0,80.0,5,0
10,5,429.5851504325868,6.5354509353637695,2057.4251189231877,85807.8,13195,189398,70448.2,0.8351498228950375,77.4,42.0,120.0,5,0
