parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
jobs,18,4,180004,18,4,2.0,0.030062437057495117,0,0,0.0,656.0,success,0.1356668472290039,0,0,0.0,656.0,success,True,,
jobs,20,0,200000,20,4,2.0,0.03400015830993652,0,0,0.0,672.0,success,0.20400190353393555,0,0,0.0,672.0,success,True,,
jobs,20,1,200001,20,4,2.0,0.03599977493286133,0,0,0.0,520.0,success,0.18651127815246582,0,0,0.0,520.0,success,True,,
jobs,20,2,200002,20,4,2.0,1.5160481929779053,19260,17678,0.9178608515057113,738.0,success,0.7940173149108887,3089,2863,0.9268371641307867,738.0,success,True,83.96157840083075,1.9093389583677391
jobs,20,3,200003,20,4,2.0,0.03555178642272949,0,0,0.0,774.0,success,0.19591760635375977,0,0,0.0,774.0,success,True,,
jobs,20,4,200004,20,4,2.0,0.04199862480163574,0,0,0.0,893.0,success,0.27936744689941406,0,0,0.0,893.0,success,True,,
jobs,22,0,220000,22,4,2.0,47.33344340324402,500097,488627,0.9770644494967976,493.0,success,218.31671047210693,500161,486807,0.9733005972076991,493.0,success,True,-0.012797517281648574,0.21681090421748334
jobs,22,1,220001,22,4,2.0,0.04899740219116211,0,0,0.0,940.0,success,0.3955068588256836,0,0,0.0,940.0,success,True,,
jobs,22,2,220002,22,4,2.0,28.195894718170166,500001,363647,0.7272925454149092,390.0,success,0.68181538581848  14,2563,1530,0.5969566913772922,390.0,success,True,99.48740102519795,41.354148505056926
jobs,22,3,220003,22,4,2.0,0.04456353187561035,0,0,0.0,840.0,success,0.345505952835083,0,0,0.0,840.0,success,True,,
jobs,22,4,220004,22,4,2.0,960.9456918239594,500197,467603,0.9348376739564611,648.0,success,565.4837987422943,56186,36444,0.6486313316484533,648.0,success,True,88.76722571306905,1.699333727971024
jobs,24,0,240000,24,4,2.0,0.05900406837463379,0,0,0.0,935.0,success,0.46550536155700684,0,0,0.0,935.0,success,True,,
jobs,24,1,240001,24,4,2.0,0.04752683639526367,0,0,0.0,810.0,success,0.3865077495574951,0,0,0.0,810.0,success,True,,
jobs,24,2,240002,24,4,2.0,8.732207536697388,161512,139758,0.8653103174996285,702.0,success,0.7762503623962402,2946,2431,0.8251866938221317,702.0,success,True,98.17598692357224,11.24921540743835
jobs,24,3,240003,24,4,2.0,0.05391812324523926,0,0,0.0,855.0,success,0.43600893020629883,0,0,0.0,855.0,success,True,,
jobs,24,4,240004,24,4,2.0,0.0598447322845459,0,0,0.0,990.0,success,0.425506591796875,0,0,0.0,990.0,success,True,,
jobs,26,0,260000,26,4,2.0,31.396282196044922,500000,453044,0.906088,900.0,success,9.234339237213135,66713,60323,0.9042165694842085,900.0,success,True,86.6574,3.3999489719331693
jobs,26,1,260001,26,4,2.0,240.2764778137207,500013,347199,0.6943799461214009,481.0,success,53.731664180755615,32862,19881,0.6049844805550484,488.0,success,False,93.42777087795717,4.471785519343312
jobs,26,2,260002,26,4,2.0,0.06799983978271484,0,0,0.0,840.0,success,0.6003048419952393,0,0,0.0,840.0,success,True,,
jobs,26,3,260003,26,4,2.0,0.06800198554992676,0,0,0.0,715.0,success,0.6190264225006104,0,0,0.0,715.0,success,True,,
jobs,26,4,260004,26,4,2.0,7622.655512571335,500123,399419,0.7986415341825911,657.0,success,16025.151040554047,500118,268715,0.5373031964456388,657.0,success,True,0.0009997540605044541,0.47566824757414533
