timestamp,instance_name,m_machines,n_jobs,budget_multiplier,budget,repetition,seed,mibs_status,mibs_return_code,mibs_timeout_hit,mibs_wall_time_seconds,mibs_search_wall_seconds,mibs_nodes_processed,mibs_tree_depth,mibs_makespan,mibs_best_quality
2026-03-10 19:06:52,grid_m12_j4_r5,12,4,2.5,2010.0000,5,4058801423,timeout,124,True,3600.4309446811676,,,,,
2026-03-10 20:06:52,grid_m12_j8_r1,12,8,2.5,1702.5000,1,1397979006,timeout,124,True,3600.401814699173,,,,,
2026-03-10 21:06:53,grid_m12_j8_r2,12,8,2.5,1728.7500,2,3164856023,timeout,124,True,3600.912952184677,,,,,
2026-03-10 22:06:53,grid_m12_j8_r3,12,8,2.5,2103.7500,3,2784249392,timeout,124,True,3600.472613811493,,,,,
2026-03-10 23:06:54,grid_m12_j8_r4,12,8,2.5,1398.7500,4,156820226,timeout,124,True,3600.4384298324585,,,,,
2026-03-11 00:06:54,grid_m12_j8_r5,12,8,2.5,1976.2500,5,4071180891,timeout,124,True,3600.1194529533386,,,,,
2026-03-11 10:54:44,grid_m12_j16_r1,12,16,2.5,1515.0000,1,74970689,timeout,124,True,3807.532607793808,,,,,
2026-03-11 11:58:26,grid_m12_j16_r2,12,16,2.5,1713.7500,2,3889992467,timeout,124,True,3822.2288138866425,,,,,
2026-03-11 12:58:57,grid_m12_j16_r3,12,16,2.5,1691.2500,3,3509385836,timeout,124,True,3630.5288636684418,,,,,
2026-03-11 13:58:59,grid_m12_j16_r4,12,16,2.5,1867.5000,4,881956670,timeout,124,True,3602.0198273658752,,,,,
2026-03-11 14:58:59,grid_m12_j16_r5,12,16,2.5,1875.0000,5,501350039,timeout,124,True,3600.417746782303,,,,,
2026-03-11 15:59:00,grid_m12_j20_r1,12,20,2.5,1528.5000,1,3699139530,timeout,124,True,3600.6548426151276,,,,,
2026-03-11 16:59:00,grid_m12_j20_r2,12,20,2.5,1722.0000,2,1171049251,timeout,124,True,3600.215320825577,,,,,
2026-03-11 17:59:01,grid_m12_j20_r3,12,20,2.5,1522.5000,3,2838587381,timeout,124,True,3600.5817861557007,,,,,
2026-03-11 18:59:01,grid_m12_j20_r4,12,20,2.5,1584.0000,4,2457980750,timeout,124,True,3600.4797761440277,,,,,
2026-03-11 19:59:01,grid_m12_j20_r5,12,20,2.5,1912.5000,5,4125518880,timeout,124,True,3600.293160200119,,,,,
